depth1_name,depth1_code,depth2_name,depth2_code,depth3_name,dpeth3_code,parameter1,parameter2,parameter3
대학,02,글로벌인재학부,1P,글로벌인재학부,1P03,search_open_yr_trm,sub,search_open_crse_cde
대학,02,약학대학,1Q,약학과,1Q01,search_open_yr_trm,sub,search_open_crse_cde
대학,02,행정학부,1S,행정학부 ,1S01,search_open_yr_trm,sub,search_open_crse_cde
대학,02,행정학부,1S,행정학부 공공관리전공,1S0101,search_open_yr_trm,sub,search_open_crse_cde
대학,02,행정학부,1S,행정학부 공공정책전공,1S0102,search_open_yr_trm,sub,search_open_crse_cde
대학,02,생태환경대학,1L,생태환경시스템학부 ,1L02,search_open_yr_trm,sub,search_open_crse_cde
대학,02,생태환경대학,1L,생태환경시스템학부 산림환경자원전공,1L0201,search_open_yr_trm,sub,search_open_crse_cde
대학,02,생태환경대학,1L,생태환경시스템학부 식물자원환경전공,1L0202,search_open_yr_trm,sub,search_open_crse_cde
대학,02,생태환경대학,1L,축산학과 ,1L04,search_open_yr_trm,sub,search_open_crse_cde
대학,02,생태환경대학,1L,레저스포츠학과 ,1L05,search_open_yr_trm,sub,search_open_crse_cde
대학,02,생태환경대학,1L,생태환경관광학부 생물응용전공,1L0601,search_open_yr_trm,sub,search_open_crse_cde
대학,02,생태환경대학,1L,생태환경관광학부 생태관광전공,1L0603,search_open_yr_trm,sub,search_open_crse_cde
대학,02,생태환경대학,1L,해양학과 ,1L08,search_open_yr_trm,sub,search_open_crse_cde
대학,02,생태환경대학,1L,축산생명공학과 ,1L09,search_open_yr_trm,sub,search_open_crse_cde
대학,02,생태환경대학,1L,말/특수동물학과 ,1L10,search_open_yr_trm,sub,search_open_crse_cde
대학,02,과학기술대학,1U,건설방재공학부 ,1U01,search_open_yr_trm,sub,search_open_crse_cde
대학,02,과학기술대학,1U,건설방재공학부 건설방재공학전공,1U0101,search_open_yr_trm,sub,search_open_crse_cde
대학,02,과학기술대학,1U,건설방재공학부 건설환경공학전공,1U0102,search_open_yr_trm,sub,search_open_crse_cde
대학,02,과학기술대학,1U,정밀기계공학과 ,1U02,search_open_yr_trm,sub,search_open_crse_cde
대학,02,과학기술대학,1U,자동차공학부 ,1U03,search_open_yr_trm,sub,search_open_crse_cde
대학,02,과학기술대학,1U,자동차공학부 친환경자동차전공,1U0301,search_open_yr_trm,sub,search_open_crse_cde
대학,02,과학기술대학,1U,자동차공학부 지능형자동차전공,1U0302,search_open_yr_trm,sub,search_open_crse_cde
대학,02,과학기술대학,1U,산업전자공학과 ,1U05,search_open_yr_trm,sub,search_open_crse_cde
대학,02,과학기술대학,1U,컴퓨터정보학부 컴퓨터시스템공학전공,1U0601,search_open_yr_trm,sub,search_open_crse_cde
대학,02,과학기술대학,1U,컴퓨터정보학부 컴퓨터소프트웨어전공,1U0602,search_open_yr_trm,sub,search_open_crse_cde
대학,02,과학기술대학,1U,나노소재공학부 ,1U07,search_open_yr_trm,sub,search_open_crse_cde
대학,02,과학기술대학,1U,나노소재공학부 신소재공학전공,1U0701,search_open_yr_trm,sub,search_open_crse_cde
대학,02,과학기술대학,1U,나노소재공학부 나노공학전공,1U0702,search_open_yr_trm,sub,search_open_crse_cde
대학,02,과학기술대학,1U,나노소재공학부 에너지화공전공,1U0703,search_open_yr_trm,sub,search_open_crse_cde
대학,02,과학기술대학,1U,식품외식산업학과 ,1U08,search_open_yr_trm,sub,search_open_crse_cde
대학,02,과학기술대학,1U,섬유패션디자인학부 섬유공학전공,1U0A01,search_open_yr_trm,sub,search_open_crse_cde
